City,Latitude,Longitude,Weather Description,Temperature (°C),Perceived Temperature (°C),Humidity (%),Wind Speed (m/s),Timestamp
Ila Orangun,8.01667,4.9,overcast clouds,32.85,34.93,46,2.65,2024-03-07 13:31:46
Ikot Ekpene,5.17938,7.71082,light rain,34.24,37.91,47,2.95,2024-03-07 13:31:47
Ikom,5.96669,8.70632,overcast clouds,35.47,39.84,45,1.41,2024-03-07 13:31:48
Ikirun,7.91667,4.66667,overcast clouds,34.59,37.35,43,2.45,2024-03-07 13:31:49
Ikire,7.35,4.18333,light rain,33.11,36.81,51,2.33,2024-03-07 13:31:50
Ikere-Ekiti,7.49133,5.23225,overcast clouds,33.22,36.16,48,1.89,2024-03-07 13:31:51
Ikem,6.77903,7.71685,overcast clouds,37.91,40.72,34,3.57,2024-03-07 13:31:52
Ikeja,6.59422,3.33748,scattered clouds,32.94,39.94,62,7.72,2024-03-07 13:31:52
Ikang,4.78978,8.5316,overcast clouds,34.22,38.88,50,4.06,2024-03-07 13:31:53
Ijero-Ekiti,7.8139,5.0742,overcast clouds,32.18,34.7,50,2.39,2024-03-07 13:31:54
Ijebu-Ode,6.81609,3.91588,overcast clouds,32.77,36.69,53,2.47,2024-03-07 13:31:55
Ijebu-Jesa,7.68333,4.81667,overcast clouds,33.19,36.1,48,2.21,2024-03-07 13:31:55
Ijebu-Igbo,6.9798,4.00329,light rain,33.75,40.32,57,2.81,2024-03-07 13:31:56
Ijebu-Ife,6.77837,4.03386,overcast clouds,32.35,36.38,55,2.3,2024-03-07 13:31:57
Iho,5.56667,7.1,overcast clouds,33.93,36.97,46,2.02,2024-03-07 13:31:58
Ihiala,5.85377,6.86026,overcast clouds,33.11,36.81,51,2,2024-03-07 13:32:00
Igede-Ekiti,7.66676,5.13205,overcast clouds,31.42,33.33,50,2.3,2024-03-07 13:32:01
Igbo-Ukwu,6.01669,7.02654,overcast clouds,31.89,34.16,50,3.28,2024-03-07 13:32:02
Igbor,7.4527,8.6098,broken clouds,38.16,40.44,32,3.15,2024-03-07 13:32:02
Igbo-Ora,7.43333,3.28333,overcast clouds,35.25,38.33,42,3.5,2024-03-07 13:32:03
Igboho,8.83333,3.75,clear sky,37.68,37.43,25,2.2,2024-03-07 13:32:04
Igbeti,8.75,4.13333,few clouds,39.26,39.22,23,1.62,2024-03-07 13:32:05
Igbara-Odo,7.50251,5.06258,overcast clouds,32.94,35.89,49,1.79,2024-03-07 13:32:05
