City,Latitude,Longitude,Weather Description,Temperature (°C),Perceived Temperature (°C),Humidity (%),Wind Speed (m/s),Timestamp
Gandi,12.96358,5.74337,broken clouds,37.52,34.42,7,1.88,2024-03-07 16:57:52
Gamboru,12.37066,14.21731,broken clouds,35.55,33.54,19,1.05,2024-03-07 16:57:52
Gamawa,12.1343,10.5396,scattered clouds,36.89,33.98,9,1.76,2024-03-07 16:57:53
Gakem,6.76578,8.98813,overcast clouds,32.75,35,47,4.85,2024-03-07 16:57:56
Gagarawa,12.40741,9.5277,scattered clouds,36.05,33.32,11,0.3,2024-03-07 16:57:57
Gabarin,11.1093,10.4441,broken clouds,36.34,33.59,11,2.18,2024-03-07 16:57:58
Funtua,11.52325,7.30813,broken clouds,34.26,32.98,26,6.05,2024-03-07 16:58:02
Fili,8.43333,4.5,overcast clouds,-1.74,-4.66,96,2.14,2024-03-07 16:58:03
Fiditi,7.71361,3.91722,overcast clouds,33.83,35.65,42,4.42,2024-03-07 16:58:03
Ezza-Ohu,6.4373,8.0862,overcast clouds,35.74,38.3,39,5.72,2024-03-07 16:58:04
Eyamba Town,4.44253,7.16747,broken clouds,29.29,34.64,76,5.84,2024-03-07 16:58:05
Etinan,4.84262,7.85252,overcast clouds,30.91,35.67,64,3.37,2024-03-07 16:58:06
Ete,7.05,7.45,overcast clouds,32.05,33.98,48,4.31,2024-03-07 16:58:07
Esuk Oron,4.80293,8.25341,broken clouds,30.15,35.16,69,3.8,2024-03-07 16:58:07
Epe,6.58412,3.98336,overcast clouds,29.79,34.53,70,3.6,2024-03-07 16:58:08
Enugu-Ukwu,6.17851,7.01156,overcast clouds,34.03,36.29,43,2.3,2024-03-07 16:58:10
Enugu-Ezike,6.9825,7.457,overcast clouds,31.38,33.26,50,4.27,2024-03-07 16:58:12
Enugu,6.4402,7.4943,overcast clouds,33.21,35.59,46,4.06,2024-03-07 16:58:13
Emure-Ekiti,7.43614,5.45932,overcast clouds,30.5,33.16,57,3.01,2024-03-07 16:58:14
Emene,6.4762,7.5851,overcast clouds,34.09,36.69,44,4.31,2024-03-07 16:58:15
Emagiti,9.06667,6.03333,overcast clouds,38.72,39.01,25,1.06,2024-03-07 16:58:15
Elelem,5.26566,7.14768,overcast clouds,31.84,36.13,58,3.57,2024-03-07 16:58:17
Elele,5.1009,6.81411,light rain,30.54,35.08,65,2.67,2024-03-07 16:58:20
Ekpoma,6.74206,6.139,,,,,,2024-03-07 16:58:21
Eket,4.64122,7.92092,broken clouds,29.54,34.38,72,4.16,2024-03-07 16:58:26
Ejirin,6.61423,3.90019,overcast clouds,29.86,34.47,69,3.44,2024-03-07 16:58:31
Ejigbo,7.9,4.31667,broken clouds,33.14,35.46,46,4.27,2024-03-07 16:58:33
Eha Amufu,6.65915,7.75961,overcast clouds,34.77,36.79,40,4.69,2024-03-07 16:58:34
Egbe,8.21667,5.51667,light rain,31.89,33.27,46,1.94,2024-03-07 16:58:35
Efon-Alaaye,7.65,4.91667,overcast clouds,29.79,32.07,58,1.66,2024-03-07 16:58:36
Effium,6.62917,8.05925,broken clouds,36.16,38.12,36,4.5,2024-03-07 16:58:37
Ebute Ikorodu,6.60086,3.48818,overcast clouds,29.5,34.07,71,4.97,2024-03-07 16:58:38
Dutsin-Ma,12.45167,7.49805,scattered clouds,38.66,36.46,15,1.48,2024-03-07 16:58:39
Dutsen Wai,10.85009,8.199,overcast clouds,33.75,32.23,25,3.7,2024-03-07 16:58:39
Dutse,11.7594,9.33921,broken clouds,37.7,34.79,10,3.19,2024-03-07 16:58:40
Duku,11.2361,4.90727,broken clouds,38.82,35.45,6,1.1,2024-03-07 16:58:41
Dukku,10.82306,10.77167,broken clouds,36.61,33.85,11,1.95,2024-03-07 16:58:42
Doma,8.38333,8.35,overcast clouds,38.48,38.94,26,0.22,2024-03-07 16:58:43
Disina,11.48135,9.91903,broken clouds,37.35,34.46,10,2.77,2024-03-07 16:58:43
Dindima,10.22629,10.15132,scattered clouds,37.46,34.87,13,3.08,2024-03-07 16:58:44
Dillala,13.108,11.5703,broken clouds,37.26,34.38,10,3.06,2024-03-07 16:58:45
Dikwa,12.02396,13.91646,overcast clouds,38.31,35.17,8,3.07,2024-03-07 16:58:46
Dengi,9.36667,9.95,overcast clouds,37.5,36.67,23,3.9,2024-03-07 16:58:47
Dekina,7.69475,7.02218,light rain,32.69,35.14,48,3.58,2024-03-07 16:58:48
Deba,10.20864,11.38586,scattered clouds,38.1,36.18,17,2.45,2024-03-07 16:58:49
Daura,13.03594,8.31631,overcast clouds,36.33,33.48,9,2.81,2024-03-07 16:58:50
Daura,11.5538,11.4085,overcast clouds,36.33,33.48,9,2.81,2024-03-07 16:58:51
Darazo,10.99375,10.41179,broken clouds,36.28,33.54,11,2.26,2024-03-07 16:58:52
Dapchi,12.4904,11.4944,overcast clouds,37.49,34.52,9,2.83,2024-03-07 16:58:52
Dan Sadau,11.29621,6.4952,broken clouds,36.61,35.67,24,3.96,2024-03-07 16:58:53
Dankama,13.29782,7.79492,overcast clouds,38.23,35.81,14,0.27,2024-03-07 16:58:54
Dankalwa,11.7443,12.1867,broken clouds,37.07,34.14,9,1.76,2024-03-07 16:58:55
Danja,11.37643,7.56249,broken clouds,34.32,32.9,25,5.05,2024-03-07 16:58:56
Dan Gora,11.53485,8.15224,broken clouds,35.67,33.81,20,3.85,2024-03-07 16:58:56
Dange,12.85128,5.34705,overcast clouds,38.52,35.36,8,2.42,2024-03-07 16:58:58
Damboa,11.15604,12.75758,broken clouds,37.96,34.86,8,2.27,2024-03-07 16:58:58
Dambatta,12.43303,8.51541,scattered clouds,38.31,35.48,11,3.94,2024-03-07 16:58:59
Damaturu,11.747,11.9608,scattered clouds,37.33,34.37,9,1.62,2024-03-07 16:59:00
Damasak,13.09771,12.4952,scattered clouds,37.38,34.42,9,4.73,2024-03-07 16:59:01
Dakingari,11.64511,4.06046,broken clouds,40.21,36.6,6,2.33,2024-03-07 16:59:02
Dadiya,9.61667,11.43333,broken clouds,37.67,36.24,20,0.59,2024-03-07 16:59:02
Dabai,11.47652,5.20625,scattered clouds,37.64,34.52,7,2.42,2024-03-07 16:59:03
Cross River State,5.75,8.5,broken clouds,30.88,34.59,60,2.56,2024-03-07 16:59:04
Tsafe,11.95527,6.92232,scattered clouds,37.77,35.97,18,3.39,2024-03-07 16:59:05
Calabar,4.9517,8.322,light rain,31.06,36.3,65,2.56,2024-03-07 16:59:05
Burutu,5.35091,5.50758,overcast clouds,29.43,34.12,72,4.61,2024-03-07 16:59:06
Burumburum,11.39106,8.72341,broken clouds,36.1,33.68,15,1.35,2024-03-07 16:59:07
Bunza,12.08444,4.02111,overcast clouds,39.88,36.32,6,2.89,2024-03-07 16:59:08
Bununu,9.86806,9.66278,broken clouds,37.34,34.86,14,2.45,2024-03-07 16:59:09
Dass,10.0,9.51667,scattered clouds,37.21,34.61,13,2.46,2024-03-07 16:59:10
Bukuru,9.8,8.86667,overcast clouds,30.25,28.84,28,1.78,2024-03-07 16:59:19
Buguma,4.73407,6.86345,light rain,31.5,36.21,61,4.37,2024-03-07 16:59:25
Buga,8.49056,7.34139,scattered clouds,29.84,32.34,59,0.57,2024-03-07 16:59:26
Twon-Brass,4.31506,6.24176,broken clouds,29.16,34.52,77,6.27,2024-03-07 16:59:27
Bornu Yassu,12.2774,12.5552,broken clouds,37.29,34.34,9,3.95,2024-03-07 16:59:28
Borno State,11.5,13.0,scattered clouds,37.57,34.52,8,2.97,2024-03-07 16:59:29
Bori,4.67366,7.36201,overcast clouds,30.15,35.16,69,4.72,2024-03-07 16:59:30
Ugbokpo,7.6565,7.8664,light rain,33.65,35.33,42,3.39,2024-03-07 16:59:31
Bonny,4.4522,7.16808,broken clouds,29.37,34.63,75,5.81,2024-03-07 16:59:32
Bomadi,5.15931,5.92516,moderate rain,29.66,34.22,70,3.38,2024-03-07 16:59:32
Bolori,11.88259,13.08901,broken clouds,37.37,34.34,8,3.05,2024-03-07 16:59:33
Bokkos,9.3,9.0,overcast clouds,25.81,25.83,53,2.36,2024-03-07 16:59:34
Bokani,9.43333,5.2,overcast clouds,38.03,37.41,23,1.68,2024-03-07 16:59:35
Boju,7.37834,7.91119,light rain,34.88,36.15,37,3.04,2024-03-07 16:59:36
Boi,9.56833,9.49528,broken clouds,34.98,33.02,20,2.96,2024-03-07 16:59:37
Bode Saadu,8.93333,4.78333,overcast clouds,37.9,38.32,27,3.02,2024-03-07 16:59:38
Biu,10.61285,12.19458,overcast clouds,34.86,32.32,13,0.49,2024-03-07 16:59:39
Birniwa,12.7903,10.2348,broken clouds,36.95,34.09,10,1.72,2024-03-07 16:59:40
Birnin Kudu,11.44588,9.4984,broken clouds,37.49,34.78,12,2.53,2024-03-07 16:59:41
Birnin Kebbi,12.45389,4.1975,overcast clouds,39.45,35.97,6,3.54,2024-03-07 16:59:42
Sofo-Birnin-Gwari,11.01537,6.78036,overcast clouds,30.86,30.6,39,3.69,2024-03-07 16:59:43
Birim,10.062094,9.997027,scattered clouds,37.33,34.63,12,1.97,2024-03-07 16:59:44
Bin Yauri,10.7823,4.81135,scattered clouds,40.08,36.61,7,1.23,2024-03-07 16:59:46
Binji,13.22277,4.90955,scattered clouds,39.71,36.18,6,3.34,2024-03-07 16:59:48
Billiri,9.86472,11.22528,scattered clouds,36.43,34.7,20,1.07,2024-03-07 16:59:49
Bida,9.08333,6.01667,broken clouds,38.98,39.42,25,1.17,2024-03-07 16:59:50
Benue State,7.33333,8.75,overcast clouds,37.16,38.64,32,4.25,2024-03-07 16:59:50
Benisheikh,11.8072,12.4909,broken clouds,37.28,34.33,9,3.63,2024-03-07 16:59:51
Benin City,6.33504,5.62749,overcast clouds,31.96,35.56,55,3.05,2024-03-07 16:59:52
Bende,5.55718,7.63676,overcast clouds,32.97,36.23,50,2.51,2024-03-07 16:59:53
Bena,11.28444,5.93472,broken clouds,37.01,34.08,9,3.85,2024-03-07 16:59:54
Beli,7.85868,10.97187,overcast clouds,35.66,36.66,34,1.68,2024-03-07 16:59:54
Bebeji,11.66726,8.26217,broken clouds,36.96,34.86,17,2.71,2024-03-07 16:59:55
Bauchi State,10.5,10.0,scattered clouds,36.86,34.08,11,3.34,2024-03-07 16:59:56
Bauchi,10.31344,9.84327,scattered clouds,36.86,34.08,11,3.34,2024-03-07 16:59:57
Batsari,12.75147,7.24472,scattered clouds,37.78,35.8,17,2.11,2024-03-07 16:59:57
Baro,8.6,6.41667,overcast clouds,36.81,38.34,33,3.51,2024-03-07 16:59:58
Bara,10.37444,10.72884,broken clouds,37.61,35.6,17,1.9,2024-03-07 16:59:59
Bama,11.5221,13.68558,overcast clouds,37.38,34.49,10,3.84,2024-03-07 17:00:00
Bakori,11.55445,7.42425,broken clouds,35.22,33.86,24,6.17,2024-03-07 17:00:00
Baissa,7.23333,10.63333,overcast clouds,33.48,34.79,41,2.74,2024-03-07 17:00:01
Bagudo,11.40329,4.22958,broken clouds,40.31,36.68,6,2.28,2024-03-07 17:00:02
Bugana,7.99917,7.58361,overcast clouds,32.95,34.86,45,5.5,2024-03-07 17:00:03
Badeggi,9.05,6.15,broken clouds,39.04,39.52,25,1.62,2024-03-07 17:00:03
Badakoshi,10.54648,10.01186,scattered clouds,36.58,33.82,11,3.23,2024-03-07 17:00:04
Badagry,6.41667,2.88333,broken clouds,29.54,34.16,71,4.69,2024-03-07 17:00:05
Babura,12.77305,9.01583,few clouds,37.92,34.91,9,2.78,2024-03-07 17:00:06
Babana,10.42949,3.81495,broken clouds,39.88,36.87,10,0.73,2024-03-07 17:00:07
Azare,11.6765,10.1948,scattered clouds,37,34.07,9,2.88,2024-03-07 17:00:07
Awka,6.21009,7.07411,overcast clouds,34.49,37.16,43,2.51,2024-03-07 17:00:08
Awgu,6.0742,7.4786,overcast clouds,33.83,36.77,46,3.35,2024-03-07 17:00:09
Auna,10.18805,4.72318,scattered clouds,37.96,35.84,16,0.69,2024-03-07 17:00:10
Auchi,7.06667,6.26667,overcast clouds,33.77,36.08,44,2.72,2024-03-07 17:00:10
Asaba,6.20064,6.73384,overcast clouds,34.06,37.23,46,3.43,2024-03-07 17:00:11
Arochukwu,5.38979,7.91404,broken clouds,32.6,36.62,54,2.16,2024-03-07 17:00:12
Argungu,12.74334,4.52687,broken clouds,39.67,36.15,6,2.99,2024-03-07 17:00:13
Aramoko-Ekiti,7.70927,5.04474,light rain,29.6,32.27,61,1.96,2024-03-07 17:00:14
Apomu,7.33333,4.18333,overcast clouds,32.08,35.27,53,3.03,2024-03-07 17:00:14
Ankpa,7.37058,7.6253,overcast clouds,33.7,34.92,40,3.34,2024-03-07 17:00:15
Anka,12.11381,5.92427,broken clouds,38.67,35.4,7,5.42,2024-03-07 17:00:16
Anchau,10.95967,8.39155,overcast clouds,33.76,32,23,2.97,2024-03-07 17:00:17
Anambra State,6.33333,7.0,overcast clouds,34.4,36.98,43,1.91,2024-03-07 17:00:17
Amper,9.35,9.7,broken clouds,36.83,35.76,23,3.83,2024-03-07 17:00:18
Amassoma,4.96917,6.10972,heavy intensity rain,28.35,32.64,78,2.19,2024-03-07 17:00:20
Amaigbo,5.78917,7.83829,overcast clouds,33.75,36.91,47,3.16,2024-03-07 17:00:21
Amagunze,6.3267,7.6539,overcast clouds,34.95,37.74,42,4.15,2024-03-07 17:00:21
Aliade,7.2964,8.487,overcast clouds,37.89,38.61,28,4.09,2024-03-07 17:00:22
Alapa,8.61667,4.38333,overcast clouds,36.59,36.56,28,3.28,2024-03-07 17:00:23
Akwanga,8.91667,8.38333,light rain,30.38,31.29,48,3.09,2024-03-07 17:00:24
Akwa Ibom State,5.0,7.83333,light rain,31.86,36.46,59,2.61,2024-03-07 17:00:24
Akure,7.25256,5.19312,light rain,28.42,31.2,68,2.44,2024-03-07 17:00:25
Aku,6.7081,7.3167,overcast clouds,31.92,33.98,49,3.38,2024-03-07 17:00:26
Akko,10.28899,10.9732,few clouds,15.58,14.94,67,2.57,2024-03-07 17:00:27
Ake-Eze,5.91677,7.67615,broken clouds,34.39,37.58,45,3.47,2024-03-07 17:00:28
Akankpa,5.1264,8.1898,light rain,31.42,36.31,62,2.01,2024-03-07 17:00:28
Ajibo,7.46667,4.28333,overcast clouds,32.31,35.73,53,2.62,2024-03-07 17:00:29
Ajasse Ipo,8.23333,4.81667,overcast clouds,31.89,34.16,50,4.16,2024-03-07 17:00:30
Ajaokuta,7.56229,6.65497,light rain,35.2,37.9,41,4.95,2024-03-07 17:00:31
Ahoada,5.07395,6.65353,light rain,30.24,34.88,67,2.75,2024-03-07 17:00:32
Agulu,6.11,7.0724,overcast clouds,33.98,36.48,44,2.44,2024-03-07 17:00:32
Ago-Are,8.5,3.41667,broken clouds,36.53,36.73,29,2.8,2024-03-07 17:00:33
Agenebode,7.106,6.6966,light rain,34.28,37.05,44,2.33,2024-03-07 17:00:34
Agbor,6.25183,6.19337,light rain,30.9,34.16,58,2.57,2024-03-07 17:00:35
Agbabu,6.58862,4.8343,overcast clouds,30.81,35.19,63,2.76,2024-03-07 17:00:37
Agaie,9.01667,6.31667,overcast clouds,39,39.78,26,2.15,2024-03-07 17:00:38
Afikpo,5.89312,7.93735,overcast clouds,33.88,36.87,46,3.93,2024-03-07 17:00:38
Adoru,6.97661,7.16268,overcast clouds,33.24,36.48,49,3.76,2024-03-07 17:00:39
Ado-Odo,6.6,2.93333,broken clouds,30.74,34.78,62,4.51,2024-03-07 17:00:40
Ado-Ekiti,7.621,5.2215,overcast clouds,29.39,31.88,61,2.01,2024-03-07 17:00:41
Adani,6.73971,7.01117,overcast clouds,33.94,36.99,46,2.52,2024-03-07 17:00:42
Federal Capital Territory,8.83333,7.16667,broken clouds,35.15,34.68,29,2.72,2024-03-07 17:00:42
Abuja,9.05735,7.48976,broken clouds,35.42,35.29,30,3.74,2024-03-07 17:00:43
Abraka,5.79023,6.10473,overcast clouds,32.33,36.05,54,3.38,2024-03-07 17:00:44
Abocho,7.5677,6.9863,light rain,32.59,33.78,43,3.09,2024-03-07 17:00:45
Abeokuta,7.15,3.35,overcast clouds,32.67,35.63,50,4.04,2024-03-07 17:00:46
Abakaliki,6.31625,8.11691,overcast clouds,35.15,38.13,42,6.45,2024-03-07 17:00:46
Abak,4.9797,7.79171,light rain,31.73,36.45,60,2.74,2024-03-07 17:00:47
Aba,5.10658,7.36667,light rain,31.17,35.74,62,3.93,2024-03-07 17:00:48
Abia State,5.41667,7.5,overcast clouds,32.59,36.03,52,3.24,2024-03-07 17:00:49
Delta State,5.5,6.0,light rain,30.79,35.4,64,3.09,2024-03-07 17:00:49
Adamawa State,9.33333,12.5,overcast clouds,38.04,36.94,21,2.73,2024-03-07 17:00:50
Edo,6.5,6.0,light rain,31.97,35.31,54,1.76,2024-03-07 17:00:51
Enugu State,6.5,7.5,broken clouds,33.1,35.65,47,4.25,2024-03-07 17:00:52
Jigawa State,12.0,9.75,scattered clouds,36.29,33.55,11,1.36,2024-03-07 17:00:52
Shogunle,6.57806,3.33444,overcast clouds,30.31,34.33,64,4.86,2024-03-07 17:00:53
Imogwu,4.98174,6.94338,light rain,30.65,35.33,65,3.12,2024-03-07 17:00:54
Degema Hulk,4.76254,6.752,overcast clouds,31.54,36.02,60,4.22,2024-03-07 17:00:55
Orogbum,4.79071,7.01174,light rain,31.34,36.12,62,4.13,2024-03-07 17:00:56
Takurza,12.06425,8.53179,few clouds,38.51,35.81,12,2.52,2024-03-07 17:00:56
Bayelsa State,4.75,6.08333,moderate rain,30.48,34.7,64,4.19,2024-03-07 17:00:57
Ebonyi State,6.25,8.08333,overcast clouds,34.82,37.8,43,6.51,2024-03-07 17:00:58
Ekiti State,7.66667,5.25,overcast clouds,29.72,32.49,61,2.38,2024-03-07 17:00:59
Gombe State,10.25,11.16667,broken clouds,36.63,34.63,18,1.85,2024-03-07 17:00:59
Nasarawa State,8.5,8.25,overcast clouds,38.97,39.74,26,2.45,2024-03-07 17:01:00
Zamfara State,12.16667,6.25,broken clouds,38.22,35.18,9,5.94,2024-03-07 17:01:01
Kebbi State,11.5,4.0,broken clouds,40.45,36.79,6,2.13,2024-03-07 17:01:02
Kogi State,7.75,6.75,overcast clouds,37.79,39.41,31,3.67,2024-03-07 17:01:03
Osun State,7.5,4.5,overcast clouds,31.64,35.43,57,2.4,2024-03-07 17:01:04
Taraba State,8.0,10.5,overcast clouds,36.65,37.76,32,4.02,2024-03-07 17:01:04
Yobe State,12.0,11.5,overcast clouds,36.76,33.86,9,2.7,2024-03-07 17:01:05
Alodifi,7.2452,5.2956,light rain,28.39,31.44,70,2.55,2024-03-07 17:01:06
Ishie Town,4.9936,8.3372,light rain,31.25,36.47,64,2.3,2024-03-07 17:01:07
Hanwa,11.11861,7.70193,broken clouds,33.24,32.02,28,2.54,2024-03-07 17:01:08
Sire,12.9299,5.20428,broken clouds,39.22,35.98,8,1.97,2024-03-07 17:01:09
Afaha Oku,5.04827,7.9217,overcast clouds,32,36.78,59,2.41,2024-03-07 17:01:09

City,Latitude,Longitude,Weather Description,Temperature (°C),Perceived Temperature (°C),Humidity (%),Wind Speed (m/s),Timestamp
Zuru,11.42406,5.22879,,,,,,2024-03-08 14:43:27
Zungeru,9.81278,6.15583,,,,,,2024-03-08 14:43:37
Zaria,11.11128,7.7227,,,,,,2024-03-08 14:43:47
Zango,13.05151,8.48765,,,,,,2024-03-08 14:43:50
Zalanga,10.61432,10.17647,broken clouds,39.71,37.67,15,2.66,2024-03-08 14:44:14
Zaki Biam,7.51667,9.61667,scattered clouds,36.34,38.13,35,5.64,2024-03-08 14:44:28
Zadawa,11.4496,10.3672,scattered clouds,40.8,37.99,11,1.14,2024-03-08 14:44:30
Yuli,9.69889,10.27444,broken clouds,40.3,40.13,21,4.78,2024-03-08 14:44:33
Yola,9.2,12.48333,few clouds,39.9,44.32,33,4.12,2024-03-08 14:44:34
Yenagoa,4.92472,6.26417,light rain,32.22,37.28,59,1.89,2024-03-08 14:44:35
Yelwa,8.83333,9.63333,broken clouds,39.36,41.12,28,4.06,2024-03-08 14:44:37
Yashikira,9.76667,3.4,scattered clouds,39.98,37.76,14,2.37,2024-03-08 14:44:38
Yandev,7.36667,9.05,broken clouds,34.6,36.77,41,5.68,2024-03-08 14:44:39
Yanda Bayo,11.5071,10.7459,few clouds,40.76,38.17,12,0.97,2024-03-08 14:44:41
Yamrat,10.11161,9.82604,,,,,,2024-03-08 14:45:13
Yajiwa,11.38385,12.7236,scattered clouds,41.32,39.32,14,2.35,2024-03-08 14:45:56
Wuyo,10.38522,11.69678,few clouds,40.14,39.27,19,2.63,2024-03-08 14:47:02
Wusasa,11.07543,7.67925,overcast clouds,38.4,36.16,15,2.65,2024-03-08 14:47:09
Wurno,13.28777,5.42326,broken clouds,41.21,37.27,5,4.15,2024-03-08 14:47:11
Wukari,7.85,9.78333,scattered clouds,37.54,39.65,33,5,2024-03-08 14:47:12
Wudil,11.81067,8.84505,overcast clouds,40.38,37.98,13,1.92,2024-03-08 14:47:15
Wawa,9.90222,4.41917,overcast clouds,38.57,37.66,21,2.7,2024-03-08 14:47:19
Wauro Jabbe,9.26667,12.41667,few clouds,40.06,44.66,33,4.12,2024-03-08 14:47:20
Wasagu,11.3764,5.79536,overcast clouds,39.77,36.23,6,3.03,2024-03-08 14:47:20
Warri,5.51667,5.75,light rain,32.22,36.39,56,3,2024-03-08 14:47:22
Wamba,8.93333,8.6,moderate rain,32.99,35.18,46,2.14,2024-03-08 14:47:23
Walmayo,7.7315,8.5441,broken clouds,36.39,39.93,40,4.09,2024-03-08 14:47:24
Wagini,12.68781,7.19579,overcast clouds,39.74,36.32,7,3.96,2024-03-08 14:47:25
Vom,9.73333,8.78333,light rain,26.26,26.26,43,4.61,2024-03-08 14:47:25
Uyo,5.03333,7.92657,overcast clouds,28.04,32.36,81,0.87,2024-03-08 14:47:27
Uruobo-Okija,5.90016,6.84312,light rain,33.09,37.38,53,2.4,2024-03-08 14:47:30
Uromi,6.7,6.33333,light rain,31.92,34.46,51,2.35,2024-03-08 14:47:35
Umunede,6.26374,6.31161,moderate rain,31.99,35.62,55,2.23,2024-03-08 14:48:15
Umuahia,5.52627,7.48959,,,,,,2024-03-08 14:52:07
Ukata,10.83122,5.82494,,,,,,2024-03-08 14:56:16
Ughelli,5.48986,6.00743,,,,,,2024-03-08 14:59:00
Ugep,5.8086,8.0812,overcast clouds,28.48,31.94,72,2.16,2024-03-08 14:59:06
Uga Soja,7.7124,8.6137,broken clouds,36.22,39.59,40,4.24,2024-03-08 14:59:17
Uga,5.93576,7.0793,light rain,30.49,33.79,60,2.73,2024-03-08 14:59:23
Udi,6.3144,7.4258,overcast clouds,29.36,31.49,59,2.23,2024-03-08 14:59:25
Ubiaja,6.65504,6.38687,light rain,32.48,35.53,51,2.22,2024-03-08 14:59:26
Uba,10.45306,13.22139,broken clouds,27.2,30.19,80,1.16,2024-03-08 14:59:27
Tungan Ali,9.00556,7.22194,scattered clouds,35.25,40.87,49,3.6,2024-03-08 14:59:29
Toungo,8.11667,12.05,broken clouds,39.14,38.18,20,0.93,2024-03-08 14:59:31
Tokombere,11.22713,13.48581,overcast clouds,42.39,38.4,6,3.92,2024-03-08 14:59:41
Tegina,10.0706,6.1906,scattered clouds,40.96,39.77,17,2.03,2024-03-08 14:59:44
Tambuwal,12.40386,4.64692,broken clouds,40.91,37.03,5,3.74,2024-03-08 14:59:46
Talata Mafara,12.57317,6.05971,scattered clouds,41.17,37.24,5,4.71,2024-03-08 14:59:48
Takum,7.26667,9.98333,overcast clouds,36.49,38.09,34,4.01,2024-03-08 14:59:51
Takai,11.58333,9.11667,overcast clouds,40.5,38.12,13,1.72,2024-03-08 15:00:17
Suya,9.46667,3.18333,few clouds,41.16,39.42,15,0.78,2024-03-08 15:00:57
Suleja,9.17583,7.18083,,,,,,2024-03-08 15:02:13
Sokoto State,13.08333,5.25,overcast clouds,41.36,37.39,5,4.4,2024-03-08 15:02:58
Sokoto,13.06092,5.23902,overcast clouds,41.09,37.17,5,4.4,2024-03-08 15:03:42
Soba,10.98134,8.05749,,,,,,2024-03-08 15:08:49
Siluko,6.53858,5.1609,,,,,,2024-03-08 15:09:03
Shinkafi,13.07534,6.51046,,,,,,2024-03-08 15:11:49
Shani,10.21617,12.06198,,,,,,2024-03-08 15:13:39
Shanga,11.21062,4.57878,,,,,,2024-03-08 15:13:49
Saki,8.66667,3.38333,,,,,,2024-03-08 15:13:59
Shagamu,6.84323,3.64776,,,,,,2024-03-08 15:14:09
Shaffa,10.50673,12.33315,broken clouds,38.4,36.96,19,2.71,2024-03-08 15:15:30
Sauri,11.72655,6.78374,,,,,,2024-03-08 15:17:44
Sapele,5.89405,5.67666,moderate rain,31.94,36.93,60,2.64,2024-03-08 15:18:11
Samamiya,11.34873,9.63989,scattered clouds,41.15,38.6,12,1.26,2024-03-08 15:18:16
Sade,11.3595,10.6732,few clouds,40.95,38.38,12,1.34,2024-03-08 15:18:18
Runka,12.44788,7.30918,overcast clouds,39.52,36.13,7,3.69,2024-03-08 15:18:43
Ruma,12.8626,7.23469,,,,,,2024-03-08 15:21:21
Rivers State,4.74974,6.82766,,,,,,2024-03-08 15:21:30
Riti,7.91667,9.61667,,,,,,2024-03-08 15:21:34
Ringim,12.15482,9.16192,overcast clouds,40.86,38.28,12,1.86,2024-03-08 15:22:27
Rijau,11.10298,5.25068,broken clouds,39.87,36.43,7,2.88,2024-03-08 15:22:35
Rano,11.54912,8.57464,broken clouds,39.98,37.76,14,2.5,2024-03-08 15:22:36
Saminaka,10.41403,8.68279,broken clouds,36.79,35.14,20,1.38,2024-03-08 15:22:42
Rabah,13.12133,5.50741,overcast clouds,41.2,37.26,5,4.11,2024-03-08 15:22:43
Potiskum,11.7091,11.0694,few clouds,40.91,38.33,12,1.79,2024-03-08 15:22:44
Port Harcourt,4.77742,7.0134,light rain,30.54,34.35,62,2.93,2024-03-08 15:23:15
Plateau State,9.16667,9.75,,,,,,2024-03-08 15:23:30
Pindiga,9.98333,10.93333,clear sky,38.23,37.44,22,3.85,2024-03-08 15:23:32
Patigi,8.73333,5.75,broken clouds,39.89,39.85,22,0.6,2024-03-08 15:23:33
Patani,5.22724,6.19238,light rain,33.96,38.99,52,1.6,2024-03-08 15:23:34
Panyam,9.41667,9.21667,light rain,24.96,25.08,60,2.95,2024-03-08 15:23:35
Pankshin,9.33333,9.45,light rain,27.36,27.5,46,3.09,2024-03-08 15:23:36
Ozubulu,5.95666,6.84904,light rain,33.08,37.05,52,2.39,2024-03-08 15:23:39
Oyo State,8.0,4.0,few clouds,38.19,38.48,26,1.79,2024-03-08 15:23:41
Oyo,7.85,3.93333,few clouds,38.34,39.03,27,1.4,2024-03-08 15:23:42
Oyan,8.05,4.76667,broken clouds,35.7,35.7,30,2.41,2024-03-08 15:23:43
Owode,6.94864,3.50511,overcast clouds,34.19,37.49,46,2.64,2024-03-08 15:23:44
Owo,7.1962,5.58681,overcast clouds,31.35,34.33,55,3.51,2024-03-08 15:23:45
Owerri,5.48333,7.03041,light rain,30.36,34.2,63,0.75,2024-03-08 15:23:47
Otukpa,7.08921,7.64989,light rain,30.71,33.13,55,2.79,2024-03-08 15:23:48
Otta,6.66667,3.73333,overcast clouds,0.52,0.52,87,0.1,2024-03-08 15:23:49
Osogbo,7.76667,4.56667,overcast clouds,36.17,36.69,31,2.03,2024-03-08 15:23:51
Oron,4.82561,8.23434,overcast clouds,28.44,32.87,78,0.17,2024-03-08 15:23:53
Orodo,5.61667,7.03333,light rain,29.82,33.29,64,1.28,2024-03-08 15:23:55
Orlu,5.79464,7.03495,light rain,29.89,33.22,63,2.43,2024-03-08 15:23:56
Orita Eruwa,7.55,3.43333,clear sky,38.89,40.3,28,1.72,2024-03-08 15:23:57
